,deep left,deep middle,deep right,short left,short middle,short right,team_name
1,30.0,63.0,17.0,65.0,69.0,63.0,ARI
2,35.0,38.0,32.0,73.0,73.0,66.0,ATL
3,27.0,57.0,45.0,69.0,69.0,67.0,BAL
4,39.0,54.0,28.0,59.0,67.0,65.0,BUF
5,29.0,46.0,29.0,67.0,65.0,63.0,CAR
6,36.0,40.0,34.0,68.0,74.0,60.0,CHI
7,37.0,33.0,33.0,72.0,73.0,70.0,CIN
8,37.0,31.0,36.0,67.0,67.0,66.0,CLE
9,38.0,44.0,52.0,67.0,65.0,67.0,DAL
10,23.0,40.0,32.0,67.0,59.0,65.0,DEN
11,23.0,67.0,45.0,72.0,70.0,72.0,DET
12,26.0,46.0,27.0,70.0,68.0,58.0,GB
13,33.0,40.0,38.0,65.0,67.0,60.0,HOU
14,31.0,37.0,38.0,67.0,65.0,69.0,IND
15,33.0,70.0,33.0,74.0,66.0,67.0,JAC
16,39.0,38.0,27.0,63.0,67.0,57.0,KC
17,54.0,64.0,31.0,65.0,69.0,67.0,MIA
18,29.0,48.0,28.0,68.0,76.0,64.0,MIN
19,35.0,26.0,40.0,68.0,66.0,66.0,NE
20,37.0,57.0,34.0,70.0,78.0,69.0,NO
21,39.0,48.0,40.0,76.0,66.0,68.0,NYG
22,37.0,48.0,32.0,60.0,64.0,61.0,NYJ
23,32.0,36.0,23.0,69.0,73.0,63.0,OAK
24,42.0,39.0,33.0,71.0,71.0,65.0,PHI
25,51.0,47.0,50.0,71.0,76.0,61.0,PIT
26,46.0,58.0,25.0,69.0,76.0,68.0,SD
27,40.0,47.0,30.0,69.0,71.0,62.0,SEA
28,53.0,56.0,37.0,75.0,72.0,70.0,SF
29,25.0,60.0,38.0,74.0,73.0,70.0,STL
30,38.0,58.0,42.0,76.0,73.0,69.0,TB
31,39.0,65.0,53.0,70.0,63.0,66.0,TEN
32,45.0,46.0,35.0,60.0,65.0,70.0,WAS
