team_id,deep left,deep middle,deep right,short left,short middle,short right,team_name
0,29.0,65.0,16.0,64.0,70.0,63.0,ARI
1,35.0,27.0,29.0,73.0,73.0,68.0,ATL
2,29.0,61.0,46.0,68.0,65.0,65.0,BAL
3,39.0,52.0,27.0,59.0,66.0,64.0,BUF
4,25.0,50.0,29.0,66.0,65.0,62.0,CAR
5,33.0,33.0,33.0,67.0,73.0,59.0,CHI
6,39.0,32.0,33.0,71.0,74.0,71.0,CIN
7,33.0,40.0,40.0,66.0,68.0,64.0,CLE
8,36.0,38.0,50.0,64.0,64.0,68.0,DAL
9,25.0,38.0,31.0,64.0,58.0,64.0,DEN
10,22.0,68.0,45.0,72.0,70.0,73.0,DET
11,32.0,52.0,22.0,70.0,67.0,59.0,GB
12,33.0,40.0,41.0,66.0,68.0,61.0,HOU
13,31.0,37.0,38.0,66.0,64.0,69.0,IND
14,34.0,74.0,29.0,74.0,69.0,65.0,JAC
15,40.0,40.0,28.0,66.0,64.0,57.0,KC
16,53.0,67.0,30.0,68.0,71.0,64.0,MIA
17,34.0,48.0,26.0,66.0,76.0,65.0,MIN
18,31.0,30.0,42.0,68.0,64.0,64.0,NE
19,34.0,52.0,35.0,68.0,75.0,68.0,NO
20,42.0,52.0,39.0,76.0,68.0,68.0,NYG
21,37.0,53.0,32.0,58.0,62.0,61.0,NYJ
22,33.0,38.0,22.0,68.0,76.0,64.0,OAK
23,40.0,33.0,34.0,72.0,70.0,63.0,PHI
24,50.0,50.0,51.0,73.0,80.0,62.0,PIT
25,46.0,64.0,22.0,70.0,78.0,67.0,SD
26,42.0,50.0,30.0,67.0,73.0,63.0,SEA
27,49.0,62.0,36.0,74.0,73.0,70.0,SF
28,23.0,58.0,35.0,74.0,72.0,72.0,STL
29,39.0,56.0,42.0,75.0,73.0,69.0,TB
30,43.0,65.0,48.0,68.0,65.0,67.0,TEN
31,41.0,50.0,35.0,60.0,66.0,68.0,WAS
