,deep left,deep middle,deep right,short left,short middle,short right
1,39.0,60.0,34.0,65.0,64.0,73.0
2,35.0,50.0,40.0,72.0,64.0,69.0
3,50.0,33.0,40.0,67.0,71.0,67.0
4,35.0,54.0,43.0,71.0,75.0,67.0
5,42.0,30.0,35.0,65.0,61.0,63.0
6,33.0,64.0,21.0,76.0,72.0,65.0
7,45.0,73.0,39.0,70.0,72.0,68.0
8,43.0,30.0,35.0,65.0,72.0,62.0
9,25.0,33.0,39.0,68.0,69.0,66.0
10,28.0,42.0,27.0,66.0,69.0,66.0
11,29.0,55.0,32.0,72.0,73.0,65.0
12,22.0,48.0,18.0,65.0,68.0,64.0
13,32.0,29.0,38.0,59.0,66.0,61.0
14,48.0,42.0,25.0,66.0,67.0,58.0
15,43.0,51.0,39.0,62.0,72.0,60.0
16,35.0,60.0,29.0,70.0,73.0,65.0
17,26.0,55.0,32.0,67.0,63.0,70.0
18,38.0,57.0,35.0,74.0,73.0,64.0
19,56.0,46.0,25.0,72.0,70.0,64.0
20,48.0,44.0,42.0,77.0,69.0,70.0
21,29.0,48.0,28.0,60.0,74.0,67.0
22,30.0,39.0,36.0,70.0,73.0,61.0
23,17.0,62.0,43.0,66.0,70.0,60.0
24,41.0,50.0,31.0,70.0,56.0,70.0
25,33.0,48.0,40.0,73.0,72.0,73.0
26,33.0,35.0,41.0,69.0,78.0,66.0
27,45.0,60.0,47.0,68.0,74.0,71.0
28,35.0,36.0,32.0,62.0,68.0,66.0
29,27.0,33.0,29.0,74.0,60.0,57.0
30,39.0,50.0,40.0,64.0,65.0,56.0
31,23.0,56.0,33.0,71.0,70.0,64.0
32,43.0,57.0,32.0,76.0,76.0,71.0
