team_id,deep left,deep middle,deep right,short left,short middle,short right
0,41.0,63.0,37.0,65.0,63.0,71.0
1,34.0,44.0,40.0,72.0,64.0,69.0
2,47.0,33.0,42.0,68.0,71.0,67.0
3,32.0,58.0,40.0,71.0,77.0,67.0
4,44.0,33.0,38.0,63.0,62.0,64.0
5,39.0,67.0,21.0,75.0,70.0,64.0
6,44.0,78.0,37.0,68.0,72.0,69.0
7,47.0,33.0,39.0,67.0,72.0,62.0
8,30.0,38.0,42.0,70.0,68.0,68.0
9,27.0,44.0,23.0,66.0,68.0,69.0
10,28.0,56.0,32.0,70.0,71.0,63.0
11,24.0,48.0,19.0,64.0,71.0,64.0
12,37.0,30.0,35.0,57.0,65.0,61.0
13,48.0,39.0,27.0,67.0,67.0,58.0
14,41.0,48.0,40.0,60.0,68.0,60.0
15,35.0,65.0,32.0,69.0,72.0,63.0
16,22.0,58.0,32.0,66.0,64.0,71.0
17,39.0,50.0,29.0,74.0,73.0,63.0
18,60.0,46.0,22.0,70.0,70.0,65.0
19,50.0,46.0,37.0,77.0,71.0,69.0
20,30.0,52.0,26.0,58.0,77.0,67.0
21,25.0,39.0,38.0,70.0,71.0,61.0
22,17.0,75.0,43.0,66.0,69.0,61.0
23,35.0,53.0,33.0,70.0,55.0,69.0
24,36.0,50.0,42.0,73.0,70.0,71.0
25,28.0,37.0,38.0,71.0,78.0,65.0
26,43.0,61.0,48.0,69.0,74.0,73.0
27,35.0,40.0,33.0,61.0,69.0,67.0
28,28.0,33.0,29.0,73.0,61.0,57.0
29,38.0,50.0,40.0,64.0,63.0,58.0
30,25.0,59.0,31.0,70.0,73.0,63.0
31,38.0,44.0,29.0,78.0,75.0,70.0
