id,team_name,off_sl_pct,off_sm_pct,off_sr_pct,off_ll_pct,off_lm_pct,off_lr_pct,def_sl_pct,def_sm_pct,def_sr_pct,def_ll_pct,def_lm_pct,def_lr_pct
1,ARI,65,64,73,39,60,34,65,69,63,30,63,17
2,ATL,72,64,69,35,50,40,73,73,66,35,38,32
3,BAL,67,71,67,50,33,40,69,69,67,27,57,45
4,BUF,71,75,67,35,54,43,59,67,65,39,54,28
5,CAR,65,61,63,42,30,35,67,65,63,29,46,29
6,CHI,76,72,65,33,64,21,68,74,60,36,40,34
7,CIN,70,72,68,45,73,39,72,73,70,37,33,33
8,CLE,65,72,62,43,30,35,67,67,66,37,31,36
9,DAL,68,69,66,25,33,39,67,65,67,38,44,52
10,DEN,66,69,66,28,42,27,67,59,65,23,40,32
11,DET,72,73,65,29,55,32,72,70,72,23,67,45
12,GB,65,68,64,22,48,18,70,68,58,26,46,27
13,HOU,59,66,61,32,29,38,65,67,60,33,40,38
14,IND,66,67,58,48,42,25,67,65,69,31,37,38
15,JAC,62,72,60,43,51,39,74,66,67,33,70,33
16,KC,70,73,65,35,60,29,63,67,57,39,38,27
17,MIA,67,63,70,26,55,32,65,69,67,54,64,31
18,MIN,74,73,64,38,57,35,68,76,64,29,48,28
19,NE,72,70,64,56,46,25,68,66,66,35,26,40
20,NO,77,69,70,48,44,42,70,78,69,37,57,34
21,NYG,60,74,67,29,48,28,76,66,68,39,48,40
22,NYJ,70,73,61,30,39,36,60,64,61,37,48,32
23,OAK,66,70,60,17,62,43,69,73,63,32,36,23
24,PHI,70,56,70,41,50,31,71,71,65,42,39,33
25,PIT,73,72,73,33,48,40,71,76,61,51,47,50
26,SD,69,78,66,33,35,41,69,76,68,46,58,25
27,SEA,68,74,71,45,60,47,69,71,62,40,47,30
28,SF,62,68,66,35,36,32,75,72,70,53,56,37
29,STL,74,60,57,27,33,29,74,73,70,25,60,38
30,TB,64,65,56,39,50,40,76,73,69,38,58,42
31,TEN,71,70,64,23,56,33,70,63,66,39,65,53
32,WAS,76,76,71,43,57,32,60,65,70,45,46,35
