id,team_name,off_sl_pct,off_sm_pct,off_sr_pct,off_ll_pct,off_lm_pct,off_lr_pct,def_sl_pct,def_sm_pct,def_sr_pct,def_ll_pct,def_lm_pct,def_lr_pct
0,ARI,65,63,71,41,63,37,64,70,63,29,65,16
1,ATL,72,64,69,34,44,40,73,73,68,35,27,29
2,BAL,68,71,67,47,33,42,68,65,65,29,61,46
3,BUF,71,77,67,32,58,40,59,66,64,39,52,27
4,CAR,63,62,64,44,33,38,66,65,62,25,50,29
5,CHI,75,70,64,39,67,21,67,73,59,33,33,33
6,CIN,68,72,69,44,78,37,71,74,71,39,32,33
7,CLE,67,72,62,47,33,39,66,68,64,33,40,40
8,DAL,70,68,68,30,38,42,64,64,68,36,38,50
9,DEN,66,68,69,27,44,23,64,58,64,25,38,31
10,DET,70,71,63,28,56,32,72,70,73,22,68,45
11,GB,64,71,64,24,48,19,70,67,59,32,52,22
12,HOU,57,65,61,37,30,35,66,68,61,33,40,41
13,IND,67,67,58,48,39,27,66,64,69,31,37,38
14,JAC,60,68,60,41,48,40,74,69,65,34,74,29
15,KC,69,72,63,35,65,32,66,64,57,40,40,28
16,MIA,66,64,71,22,58,32,68,71,64,53,67,30
17,MIN,74,73,63,39,50,29,66,76,65,34,48,26
18,NE,70,70,65,60,46,22,68,64,64,31,30,42
19,NO,77,71,69,50,46,37,68,75,68,34,52,35
20,NYG,58,77,67,30,52,26,76,68,68,42,52,39
21,NYJ,70,71,61,25,39,38,58,62,61,37,53,32
22,OAK,66,69,61,17,75,43,68,76,64,33,38,22
23,PHI,70,55,69,35,53,33,72,70,63,40,33,34
24,PIT,73,70,71,36,50,42,73,80,62,50,50,51
25,SD,71,78,65,28,37,38,70,78,67,46,64,22
26,SEA,69,74,73,43,61,48,67,73,63,42,50,30
27,SF,61,69,67,35,40,33,74,73,70,49,62,36
28,STL,73,61,57,28,33,29,74,72,72,23,58,35
29,TB,64,63,58,38,50,40,75,73,69,39,56,42
30,TEN,70,73,63,25,59,31,68,65,67,43,65,48
31,WAS,78,75,70,38,44,29,60,66,68,41,50,35
