team_id,off_deep_left,off_deep_middle,off_deep_right,off_short_right,off_short_middle,off_short_right,def_deep_left,def_deep_middle,def_deep_right,def_short_right,def_short_middle,def_short_right,team_name
0,26,71,37,61,73,72,28,58,24,64,74,65,ARI
1,41,42,50,65,66,70,28,20,33,75,76,71,ATL
2,28,36,42,70,70,66,39,60,52,71,63,68,BAL
3,32,50,42,77,81,70,40,59,16,59,68,64,BUF
4,29,20,21,67,60,63,19,56,40,65,63,56,CAR
5,47,67,12,70,68,61,33,75,47,72,70,59,CHI
6,50,85,32,59,74,74,45,40,35,72,78,74,CIN
7,52,36,41,67,65,66,14,0,33,64,69,63,CLE
8,36,60,50,75,71,74,42,33,42,64,61,73,DAL
9,29,44,30,67,60,71,36,50,36,65,69,64,DEN
10,24,64,38,64,71,66,36,75,61,72,75,76,DET
11,31,60,21,75,79,63,25,67,18,70,71,52,GB
12,41,36,27,56,65,60,50,50,41,62,67,60,HOU
13,43,62,28,69,70,57,30,45,40,71,67,72,IND
14,40,47,40,61,63,58,36,75,27,72,70,67,JAC
15,42,89,18,68,70,61,44,46,38,68,68,53,KC
16,22,75,29,76,56,69,46,60,33,69,67,51,MIA
17,43,75,46,70,71,67,33,40,18,61,69,70,MIN
18,68,55,28,74,75,65,33,38,41,76,67,64,NE
19,53,33,28,79,71,70,26,64,36,65,76,65,NO
20,18,43,27,58,81,70,43,56,42,77,66,66,NYG
21,21,50,38,72,64,62,37,33,10,61,60,59,NYJ
22,20,67,40,72,77,62,40,40,19,71,71,68,OAK
23,25,44,25,70,60,66,44,20,30,75,72,65,PHI
24,48,50,52,77,68,65,43,47,53,78,81,63,PIT
25,32,45,42,74,85,66,48,71,17,69,76,66,SD
26,45,50,56,71,77,74,44,50,33,69,76,65,SEA
27,30,50,45,61,81,60,50,60,41,76,79,72,SF
28,30,50,35,68,56,61,11,75,45,75,79,78,STL
29,50,38,57,64,68,48,31,50,33,69,79,71,TB
30,18,33,36,70,76,64,50,43,50,72,52,59,TEN
31,42,50,24,78,75,69,36,50,39,63,67,66,WAS
