,off_short_left,off_short_middle,off_short_right,off_long_left,off_long_middle,off_long_right,def_short_left,def_short_middle,def_short_right,def_long_left,def_long_middle,def_long_right,team_name
0,55,64,65,34,39,33,67,68,68,45,54,29,ARI
1,72,71,65,36,74,51,68,72,70,37,55,26,ATL
2,66,66,66,33,42,30,66,67,66,44,58,52,BAL
3,67,67,69,33,48,40,69,72,65,17,43,18,BUF
4,62,73,60,40,45,42,66,62,72,47,48,43,CAR
5,68,71,73,35,62,21,72,65,71,38,65,54,CHI
6,64,70,72,16,47,35,70,64,60,24,38,41,CIN
7,59,59,51,41,52,33,64,66,60,29,58,24,CLE
8,70,78,73,44,50,46,71,72,66,30,45,41,DAL
9,67,68,72,37,60,42,67,65,66,31,29,28,DEN
10,67,64,65,22,58,26,69,69,67,27,54,24,DET
11,68,72,70,23,65,35,61,68,63,38,48,24,GB
12,63,69,62,38,55,38,64,57,68,30,39,22,HOU
13,64,61,66,34,52,49,61,65,66,30,37,29,IND
14,61,55,64,22,39,34,69,69,69,37,63,47,JAC
15,73,61,64,28,58,43,64,60,68,29,40,22,KC
16,76,70,65,31,26,28,72,63,70,28,42,42,MIA
17,62,73,68,37,44,42,70,70,72,31,64,35,MIN
18,72,67,66,28,51,29,62,62,70,29,59,30,NE
19,77,65,70,52,45,53,69,70,68,39,45,40,NO
20,72,65,65,31,35,48,62,83,60,41,35,44,NYG
21,57,63,70,30,38,29,69,69,65,32,65,47,NYJ
22,68,61,62,18,46,26,72,63,63,26,54,45,OAK
23,71,66,67,28,51,39,64,63,58,50,45,37,PHI
24,74,71,73,45,60,33,63,70,66,48,52,52,PIT
25,68,66,74,44,50,36,64,66,66,22,50,43,SD
26,74,66,67,38,50,31,72,68,61,30,43,35,SEA
27,65,78,65,29,58,19,72,73,61,38,39,29,SF
28,78,75,59,42,29,46,76,67,73,31,52,16,STL
29,58,69,67,37,44,32,68,76,72,42,63,47,TB
30,64,75,62,42,39,32,68,57,67,40,38,46,TEN
31,75,66,65,25,42,38,75,72,67,35,36,51,WAS
