team_id,deep left,deep middle,deep right,short left,short middle,short right
0,Michael Floyd,John Brown,John Brown,Larry Fitzgerald,Larry Fitzgerald,Larry Fitzgerald
1,Julio Jones,Julio Jones,Julio Jones,Julio Jones,Julio Jones,Julio Jones
2,Kamar Aiken,Crockett Gillmore,Kamar Aiken,Kamar Aiken,Justin Forsett,Steve Smith
3,Sammy Watkins,Sammy Watkins,Sammy Watkins,LeSean McCoy,Charles Clay,Robert Woods
4,Ted Ginn,Ted Ginn,Greg Olsen,Ted Ginn,Greg Olsen,Greg Olsen
5,Alshon Jeffery,Martellus Bennett,Alshon Jeffery,Martellus Bennett,Alshon Jeffery,Alshon Jeffery
6,A.J. Green,Marvin Jones,A.J. Green,A.J. Green,Tyler Eifert,A.J. Green
7,Travis Benjamin,Travis Benjamin,Travis Benjamin,Gary Barnidge,Gary Barnidge,Travis Benjamin
8,Dez Bryant,Dez Bryant,Terrance Williams,Jason Witten,Jason Witten,Jason Witten
9,Demaryius Thomas,Emmanuel Sanders,Emmanuel Sanders,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas
10,Calvin Johnson,Calvin Johnson,Calvin Johnson,Calvin Johnson,Golden Tate,Golden Tate
11,James Jones,Randall Cobb,James Jones,Randall Cobb,Randall Cobb,Randall Cobb
12,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins
13,T.Y. Hilton,Coby Fleener,T.Y. Hilton,Donte Moncrief,Donte Moncrief,T.Y. Hilton
14,Allen Robinson,Allen Robinson,Allen Robinson,Julius Thomas,T.J. Yeldon,Allen Robinson
15,Jeremy Maclin,Jeremy Maclin,Jeremy Maclin,Travis Kelce,Travis Kelce,Jeremy Maclin
16,Jarvis Landry,Rishard Matthews,Kenny Stills,Jarvis Landry,Jarvis Landry,Jarvis Landry
17,Stefon Diggs,Mike Wallace,Mike Wallace,Stefon Diggs,Kyle Rudolph,Kyle Rudolph
18,Brandon LaFell,Brandon LaFell,Rob Gronkowski,Brandon LaFell,Danny Amendola,Rob Gronkowski
19,Brandin Cooks,Benjamin Watson,Brandin Cooks,Mark Ingram,Benjamin Watson,Brandin Cooks
20,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham,Odell Beckham
21,Brandon Marshall,Eric Decker,Eric Decker,Brandon Marshall,Eric Decker,Brandon Marshall
22,Amari Cooper,Michael Crabtree,Amari Cooper,Amari Cooper,Michael Crabtree,Michael Crabtree
23,Riley Cooper,Jordan Matthews,Jordan Matthews,Jordan Matthews,Jordan Matthews,Jordan Matthews
24,Antonio Brown,Antonio Brown,Antonio Brown,Antonio Brown,Heath Miller,Antonio Brown
25,Malcom Floyd,Malcom Floyd,Malcom Floyd,Keenan Allen,Antonio Gates,Danny Woodhead
26,Doug Baldwin,Doug Baldwin,Tyler Lockett,Jimmy Graham,Jimmy Graham,Doug Baldwin
27,Torrey Smith,Torrey Smith,Anquan Boldin,Anquan Boldin,Anquan Boldin,Anquan Boldin
28,Kenny Britt,Kenny Britt,Kenny Britt,Tavon Austin,Jared Cook,Tavon Austin
29,Mike Evans,Mike Evans,Mike Evans,Charles Sims,Mike Evans,Mike Evans
30,Kendall Wright,Dorial Green-Beckham,Dorial Green-Beckham,Delanie Walker,Delanie Walker,Delanie Walker
31,Pierre Garcon,Pierre Garcon,Pierre Garcon,Jordan Reed,Jordan Reed,Jordan Reed
